question,A,B,C,D,answer,file
Which command provides information about the versions of an endpoint currently being served and their associated probabilities?,./bin/apinode-admin service-switch-to-newest <SERVICE_ID>,./bin/apinode-admin service-set-mapping <SERVICE_ID>,./bin/apinode-admin service-list-generations <SERVICE_ID>,./bin/apinode-admin service-monitor-versions <SERVICE_ID>,C,../data/dataiku\apinode\managing_versions.md
Which of the following is NOT a characteristic of the API keys authorization method?,You can create an arbitrary number of API keys,API keys are per API Service,Each API key has fine-grained access to the API service,Using multiple API keys gives traceability and the ability to revoke a compromised API key,C,../data/dataiku\apinode\security.md
What is the recommended method for providing public keys to DSS for JWT verification?,Using a JWKs_URI,Providing static JWKs set,Using a symmetric key,Embedding keys directly in the API node,A,../data/dataiku\apinode\security.md
"Which of the following permissions allows a user to manage infrastructure settings, including managing permissions?",View,Deploy,Admin,Read,C,../data/dataiku\apinode\security.md
Which of the following is required for authentication on the admin API?,OAuth Token,API Key,Username and Password,SSH Key,B,../data/dataiku\apinode\api\admin-api.md
What is the format of the request body for POST and PUT requests in the API Node administration API?,XML,HTML,JSON,Plain Text,C,../data/dataiku\apinode\api\admin-api.md
Which command-line tool can be used to manage the API node?,apinode-admin,api-node-cli,dataiku-admin,node-admin,A,../data/dataiku\apinode\api\admin-api.md
What is a common use-case for having an API Service with several endpoints in Dataiku?,To manage user authentication.,To orchestrate several prediction models.,To store large datasets.,To perform data cleaning operations.,B,../data/dataiku\apinode\api\endpoints-api.md
Which of the following is NOT required for a dispatcher endpoint to query other endpoints in Dataiku?,An API key.,The service identifier.,The port on which the API node server is running.,The database connection string.,D,../data/dataiku\apinode\api\endpoints-api.md
"In Dataiku, where must the call to `utils.get_self_client()` be placed within your function?",At the beginning of the script.,Within your function or `predict` method.,In the initialization section.,At the end of the script.,B,../data/dataiku\apinode\api\endpoints-api.md
Which of the following methods is used to predict a single record using the API Python client?,APINodeClient.predict_records(),APINodeClient.predict_record(),APINodeClient.forecast(),APINodeClient.lookup_record(),B,../data/dataiku\apinode\api\index.md
Which method would you use to create a new service using the API node administration API?,APINodeAdminClient.create_service(),APINodeAdminClient.list_services(),APINodeAdminClient.service(),APINodeAdminClient.auth(),A,../data/dataiku\apinode\api\index.md
Which of the following HTTP status codes indicates a successful request in the Dataiku API?,1xx,2xx,3xx,4xx,B,../data/dataiku\apinode\api\user-api.md
What is the required format for the request body in POST and PUT requests when using the Dataiku REST API?,XML,HTML,JSON,Plain Text,C,../data/dataiku\apinode\api\user-api.md
Which of the following methods is NOT a valid method for computing explanations in the Dataiku API?,SHAPLEY,ICE,LIME,None of the above,C,../data/dataiku\apinode\api\user-api.md
Which of the following commands is used to build a CUDA-enabled base image for API Deployer?,./bin/dssadmin build-base-image --type apideployer --with-cuda,./bin/dssadmin build-base-image --type apideployer --with-gpu,./bin/dssadmin build-base-image --type apideployer --with-nvidia,./bin/dssadmin build-base-image --type apideployer --with-tensorflow,A,../data/dataiku\apinode\kubernetes\aks.md
What is the minimum recommended memory allocation for each AKS cluster node?,4GB,8GB,16GB,32GB,B,../data/dataiku\apinode\kubernetes\aks.md
Which of the following Kubernetes versions has been tested for cluster management?,1.20,1.21,1.23,1.22,C,../data/dataiku\apinode\kubernetes\aks.md
Which command is used to build a CUDA-enabled base image for API Deployer deployments?,./bin/dssadmin build-base-image --type apideployer --with-cuda,./bin/dssadmin build-base-image --type apideployer --with-gpu,./bin/dssadmin build-base-image --type apideployer --with-nvidia,./bin/dssadmin build-base-image --type apideployer --with-tensorflow,A,../data/dataiku\apinode\kubernetes\eks.md
What is the minimum recommended memory allocation for each node in an AWS EKS cluster?,4 GB,7 GB,10 GB,12 GB,B,../data/dataiku\apinode\kubernetes\eks.md
Which of the following Kubernetes versions has cluster management been tested with?,1.20,1.21,1.23,1.30,C,../data/dataiku\apinode\kubernetes\eks.md
Which command is used to ensure that the local 'docker' command can successfully push images to the 'gcr.io' repository?,gcloud container clusters get-credentials <cluster_id>,gcloud auth configure-docker,kubectl apply -f <file.yaml>,docker push <image_name>,B,../data/dataiku\apinode\kubernetes\gke.md
What must be added to the command line to build a CUDA-enabled base image for API Deployer?,--with-cuda,--enable-gpu,--cuda-support,--gpu-enable,A,../data/dataiku\apinode\kubernetes\gke.md
Which of the following is a required step to use GPU-enabled instances for API Deployer deployments on Google Cloud Platform?,Create a cluster with GPU accelerators,Install Docker on the local machine,Use Kubernetes version 1.23,Enable API Gateway,A,../data/dataiku\apinode\kubernetes\gke.md
Which of the following is NOT a step in setting up the infrastructure for deploying on Google Kubernetes Engine (GKE)?,Create your GKE cluster,Prepare your local `docker` and `kubectl` commands,Create your ACR registry,Setup the infrastructure,C,../data/dataiku\apinode\kubernetes\index.md
What is the purpose of a Kubernetes service in the context of API Service Deployment?,To manage the deployment of multiple pods,To expose a publicly available URL for querying the API,To build the base image for deployment,To create a cluster with GPUs,B,../data/dataiku\apinode\kubernetes\index.md
Which of the following is NOT true about Minikube?,Minikube is suitable for simple experimentation.,Minikube is a supported feature.,Minikube does not have an image repository.,Minikube uses the Docker daemon running within the VM.,B,../data/dataiku\apinode\kubernetes\minikube.md
What is the recommended memory allocation for each Minikube cluster node?,2 GB,4 GB,7 GB,10 GB,C,../data/dataiku\apinode\kubernetes\minikube.md
Which of the following is NOT a prerequisite for deploying API services on Kubernetes?,An existing Kubernetes cluster,A fully functional 'kubectl' command,A MacOS installation of DSS,An accessible image registry,C,../data/dataiku\apinode\kubernetes\setup.md
What must be done after each upgrade of DSS?,Rebuild all base images,Restart the Kubernetes cluster,Reconfigure the 'kubectl' command,Reinstall the Docker command,A,../data/dataiku\apinode\kubernetes\setup.md
Which of the following is NOT applicable to SQL Query endpoints in a Kubernetes deployment?,SQL query endpoints,Dataset lookup endpoints,Query enrichments in prediction endpoints,Storage of bundled data,D,../data/dataiku\apinode\kubernetes\sql-connections.md
What must be replaced in the connection settings for Kubernetes deployments due to lack of support?,Connection names,Encrypted passwords,Dataset lookup endpoints,SQL query endpoints,B,../data/dataiku\apinode\kubernetes\sql-connections.md
Which of the following commands is used to list the available services in the DSS API node?,service-create,services-list,service-delete,service-import-generation,B,../data/dataiku\apinode\operations\cli-tool.md
Which command would you use to switch to the newest generation of a service?,service-switch-to-newest,service-switch-to-generation,service-set-mapping,service-enable,A,../data/dataiku\apinode\operations\cli-tool.md
Which of the following methods is NOT available for API node administration on Dataiku Cloud?,Using the apinode-admin tool,Using the REST Admin API,Using the Python client,Using the Dataiku Cloud Console,A,../data/dataiku\apinode\operations\cli-tool.md
Which of the following is NOT a mechanism for client-side high availability handling?,Using a load balancer,Using client-side dispatch,Using client-side retry,Using server-side fallback,D,../data/dataiku\apinode\operations\ha-deployment.md
What is a key advantage of using a load balancer for high availability?,It is cost-effective and simple to deploy,It is transparent from the clients,It requires no monitoring of API node instances,It eliminates the need for multiple API node instances,B,../data/dataiku\apinode\operations\ha-deployment.md
What is the first step in a rolling software update for an API node?,Stopping the node,Upgrading the node,Taking the node out of high availability,Uploading the new version of the package,C,../data/dataiku\apinode\operations\ha-deployment.md
What HTTP success code does the isAlive probe return if the node is considered alive?,1xx,2xx,3xx,4xx,B,../data/dataiku\apinode\operations\health-monitoring.md
How can you force the isAlive probe to indicate that the node is not alive?,Restart the server,Create a file called 'apinode-not-alive.txt' in the API node data directory,Delete the 'apinode-not-alive.txt' file from the API node data directory,Send a specific HTTP request to the /isAlive/ endpoint,B,../data/dataiku\apinode\operations\health-monitoring.md
Which of the following is a method for ensuring high availability and scalability in Dataiku?,Using the apinode-admin tool,Client-side dispatch,Logging queries to Kafka,Global isAlive probe,B,../data/dataiku\apinode\operations\index.md
What is the purpose of the 'isAlive API' in Dataiku?,To manage the list of services,To handle software updates,To monitor the status of services,To check the global health status of the node,D,../data/dataiku\apinode\operations\index.md
Which of the following loggers is generally not recommended to enable?,dku.apinode.audit.queries,dku.apinode.audit.auth,dku.apinode.audit.admin,dku.apinode.audit.allcalls,D,../data/dataiku\apinode\operations\logging-audit.md
What is the default file where administration API audit logs are written?,run/audit/audit.log,run/api-queries/queries.log,run/apimain.log,run/audit,C,../data/dataiku\apinode\operations\logging-audit.md
Which logging mechanism is used for audit and query logging in Dataiku DSS?,Apache Kafka,Java Log4J,Syslog,Fluentd,B,../data/dataiku\apinode\operations\logging-audit.md
Who can contribute to the development of an Application-as-recipe?,Any user with a Dataiku account,Only users with the Develop plugins permission,Only users that are administrators of the project,Only users with the Write project content permission,C,../data/dataiku\applications\application-as-recipe.md
What is mandatory to specify in the Recipe definition of an Application-as-recipe?,Icon,Category,Scenario,Settings,C,../data/dataiku\applications\application-as-recipe.md
Which of the following is NOT supported in an Application-as-recipe?,Partitioned inputs and outputs,Writable outputs by DSS,Python code recipes,Visual recipes like Prepare or Join,A,../data/dataiku\applications\application-as-recipe.md
Which of the following panels allows you to configure the user interface of the application instances in Dataiku?,Application header,Application features,Included content,Application instance home,D,../data/dataiku\applications\index.md
What permission is required for a user to configure project variable tiles with custom code in Dataiku?,Execute App,Develop plugins,Administrator,View dashboard,B,../data/dataiku\applications\index.md
What is the purpose of the projectRandomKey variable in Dataiku applications?,To store user credentials,To build table names for SQL datasets,To manage application permissions,To configure the application image,B,../data/dataiku\applications\index.md
Which of the following tiles allows modifying the configuration of an 'Uploaded files' dataset and automatically infers the schema?,Upload file and automatically redetect format,Upload file and automatically redetect format and infer schema,Only upload file,Go to dataset settings,B,../data/dataiku\applications\tiles.md
What is the purpose of the 'Propagate schema' tile in Dataiku?,To run a selected scenario,To view a selected dashboard,To facilitate updating recipes when input dataset columns change,To download the selected dataset,C,../data/dataiku\applications\tiles.md
Which tile interaction allows browsing and selecting a file in a 'Filesystem' dataset?,Only browse file,Go to dataset settings,Browse file and automatically redetect format,Browse file and automatically redetect format and infer schema,A,../data/dataiku\applications\tiles.md
Which cloud providers does DSS have advanced support for?,"Amazon Web Services (AWS), Microsoft Azure, Google Cloud Platform (GCP)","Amazon Web Services (AWS), IBM Cloud, Google Cloud Platform (GCP)","Microsoft Azure, IBM Cloud, Google Cloud Platform (GCP)","Amazon Web Services (AWS), Microsoft Azure, Oracle Cloud",A,../data/dataiku\cloud\index.md
"In the reference architecture for DSS on AWS, which service is used for managed compute?",EKS,EC2,Lambda,Fargate,A,../data/dataiku\cloud\index.md
What is the first step in setting up DSS in the reference architecture for Azure?,Install DSS,Prepare the instance,Setup ADLS gen2 connections,Install AKS plugin,B,../data/dataiku\cloud\index.md
Which AWS service is NOT mentioned as being deeply integrated with DSS?,S3,RDS,Redshift,Lambda,D,../data/dataiku\cloud\aws\index.md
Which of the following steps is NOT part of the main steps in the reference architecture for managed compute on EKS with Glue and Athena?,Setup connectivity to AWS,Install DSS,Setup S3 connections,Setup Lambda functions,D,../data/dataiku\cloud\aws\index.md
Which AWS service is used by DSS for interactive SQL queries?,Glue,Athena,Redshift,SageMaker,B,../data/dataiku\cloud\aws\reference-architectures\eks-glue-athena.md
What is the role of EKS in the Dataiku DSS architecture?,For in-database SQL processing,"For containerized Python, R, and Spark data processing and Machine Learning",For interactive SQL queries,For managing backups,B,../data/dataiku\cloud\aws\reference-architectures\eks-glue-athena.md
Which AWS service does DSS use as a metastore?,Athena,Redshift,Glue,SageMaker,C,../data/dataiku\cloud\aws\reference-architectures\eks-glue-athena.md
Which of the following Azure services does DSS integrate with for data storage?,WASB and ADLS,AWS S3 and Google Cloud Storage,Azure Blob Storage and Google Drive,Dropbox and OneDrive,A,../data/dataiku\cloud\azure\index.md
What is one of the main steps in the reference architecture for managing compute on AKS and storage on ADLS gen2?,Setup containerized execution configuration in DSS,Install Hadoop,Configure AWS Lambda,Setup Google Cloud Functions,A,../data/dataiku\cloud\azure\index.md
Which of the following is NOT a main step in setting up the reference architecture for managing compute on AKS and storage on ADLS gen2?,Prepare the instance,Install DSS,Setup containerized execution configuration in DSS,Install Hadoop,D,../data/dataiku\cloud\azure\reference-architectures\azure-aks-adls.md
What is the purpose of setting 'your-cr.azurecr.io' as the 'Image registry URL' in the DSS setup?,To configure the Azure VM,To push base images,To install Docker CE,To setup ADLS gen2 connections,B,../data/dataiku\cloud\azure\reference-architectures\azure-aks-adls.md
Which of the following is required to create a new 'AKS connection' preset?,Azure subscription ID,Docker CE installation,Non-root user for 'dssuser',Standalone Spark binaries,A,../data/dataiku\cloud\azure\reference-architectures\azure-aks-adls.md
Which of the following GCP services does DSS integrate with for dynamically-managed clusters?,Google Cloud SQL,BigQuery,Dataproc,GCS,C,../data/dataiku\cloud\gcp\index.md
Which of the following is NOT a main step in setting up the DSS instance on GCE?,Prepare the instance,Install DSS,Setup containerized execution configuration in DSS,Install Apache Hadoop,D,../data/dataiku\cloud\gcp\reference-architectures\gke-gcs.md
What is required for the 'dssuser' to manage GKE clusters and push Docker images to Google Container Registry?,A GCP Service Account with sufficient permissions,A Kubernetes Service Account,An AWS IAM Role,A local machine with Docker installed,A,../data/dataiku\cloud\gcp\reference-architectures\gke-gcs.md
What should be set as the 'Image registry URL' when setting up containerized execution configuration in DSS?,docker.io/your-docker-project,gcr.io/your-gcp-project,registry.hub.docker.com,quay.io/your-quay-project,B,../data/dataiku\cloud\gcp\reference-architectures\gke-gcs.md
What is the purpose of preloading a bundle in Dataiku?,To scan for needed code environments and compare them to the ones available on the automation node.,To delete all existing code environments on the automation node.,To automatically activate the bundle without any further actions.,To create a backup of the current project.,A,../data/dataiku\code-envs\automation.md
Which of the following is NOT a possible behavior when faced with a missing or outdated code environment during the Preloading phase?,Do nothing.,Stop preloading if a code environment is missing or not up-to-date.,Ensure existence of an appropriate code environment by creating or updating it.,Automatically delete the project.,D,../data/dataiku\code-envs\automation.md
How are managed code environments on the design node treated when preloaded on the automation node?,They become non-managed code environments.,They become versioned code environments.,They are deleted.,They remain unchanged.,B,../data/dataiku\code-envs\automation.md
What are the two sets of packages that can be pre-installed in environments for Dataiku?,Core packages and Jupyter packages,Core packages and Visualization packages,Jupyter packages and Visualization packages,Core packages and Analysis packages,A,../data/dataiku\code-envs\base-packages.md
What is the primary reason Dataiku does not generally recommend using Conda for code environments?,Conda is not compatible with Python.,"Conda packages repositories tend to be very bleeding-edge and move quickly, with frequent backwards-incompatible changes.",Conda does not support R packages.,Conda is not supported by Dataiku at all.,B,../data/dataiku\code-envs\conda.md
What must be installed and included in the PATH of DSS to use Conda environments?,Virtualenv,Miniconda or Anaconda,Docker,Jupyter Notebook,B,../data/dataiku\code-envs\conda.md
"When managing packages in a Conda-based environment, what lists of packages need to be managed?",Only the list of Conda packages,Only the list of pip requirements,The list of Conda packages and the 'regular' list of language packages,The list of Docker images and the list of Conda packages,C,../data/dataiku\code-envs\conda.md
"Where can custom options for virtualenv, pip, R, and conda be configured in Dataiku DSS?",Administration > Settings > Misc,Administration > Settings > Security,Administration > Settings > Network,Administration > Settings > Users,A,../data/dataiku\code-envs\custom-options.md
Which of the following commands is used to add a trusted host for pip installs?,pip install --trusted-host,pip install --proxy,pip install --index-url,pip install --no-index,A,../data/dataiku\code-envs\custom-options.md
What is the purpose of the '--no-index' option in pip installs?,To add a trusted host,To apply a proxy,To use a custom python package repository,To install from a local directory without scanning remote package indexes,D,../data/dataiku\code-envs\custom-options.md
What is a code environment in DSS?,A shared environment for all users to run code.,A standalone and self-contained environment to run Python or R code.,An environment that only supports Python 3.9.,A cloud-based environment for running machine learning models.,B,../data/dataiku\code-envs\index.md
Which of the following is true about code environments in DSS?,All code environments must use the same version of Python.,Code environments are dependent on each other.,Each code environment can have its own set of packages.,You cannot install different versions of packages in different environments.,C,../data/dataiku\code-envs\index.md
Which of the following is NOT a required step to create a non-managed code environment in DSS?,Go to Administration > Code envs,Create a new Python or R environment,Select 'Managed path' as environment type,Give an identifier to your code environment,C,../data/dataiku\code-envs\non-managed.md
What must be present in the location of a non-managed Python code environment for DSS?,bin/python and bin/pip,bin/R and bin/pip,bin/python and bin/R,bin/R and bin/Rscript,A,../data/dataiku\code-envs\non-managed.md
Which of the following Python versions is NOT compatible with Visual Deep Learning code environments in DSS?,3.6,3.7,3.11,3.10,C,../data/dataiku\code-envs\operations-python.md
What must be installed on your system to use a specific version of Python in DSS?,Python development headers packages,Python runtime environment,Python libraries,Python scripts,A,../data/dataiku\code-envs\operations-python.md
Which of the following is a typical use case for the resources directory in a managed code environment?,Storing user data,Downloading heavy pre-trained deep learning models,Saving temporary files,Backing up code environments,B,../data/dataiku\code-envs\operations-python.md
